query_type,epochs,num_sources,num_aggregators,keys_per_source,sources_per_epoch,total_unique_keys,samples_per_key,total_events,prove_time_ms,verify_time_ms,proof_size_bytes,journal_size_bytes,dp_offset,memory_mb,seed,dp_enabled,risc0_dev_mode
cm/estimate,1,128,1,64,32,8192,16,32768,71.2s,39ms,218.8 KB,408 B,0,9378.46,0xBEEF,0,0
cm/topk,1,128,1,64,32,8192,16,32768,80.5s,39ms,218.9 KB,484 B,0,9378.46,0xBEEF,0,0
cm/estimate,2,128,1,64,32,8192,16,65536,133.9s,37ms,219.0 KB,536 B,0,9378.95,0xBEEF,0,0
cm/topk,2,128,1,64,32,8192,16,65536,154.0s,31ms,219.2 KB,612 B,0,9378.95,0xBEEF,0,0
cm/estimate,4,128,1,64,32,8192,16,131072,261.7s,39ms,219.5 KB,792 B,0,9378.13,0xBEEF,0,0
cm/topk,4,128,1,64,32,8192,16,131072,314.0s,37ms,219.7 KB,868 B,0,9378.13,0xBEEF,0,0
cm/estimate,8,128,1,64,32,8192,16,262144,527.5s,38ms,220.5 KB,1.3 KB,0,9388.03,0xBEEF,0,0
cm/topk,8,128,1,64,32,8192,16,262144,634.9s,37ms,220.7 KB,1.3 KB,0,9388.03,0xBEEF,0,0
cm/estimate,16,128,1,64,32,8192,16,524288,1007.6s,37ms,222.5 KB,2.3 KB,0,9404.53,0xBEEF,0,0
cm/topk,16,128,1,64,32,8192,16,524288,1297.2s,39ms,222.7 KB,2.3 KB,0,9404.53,0xBEEF,0,0
cm/estimate,32,128,1,64,32,8192,16,1048576,2021.5s,38ms,226.5 KB,4.3 KB,0,9407.90,0xBEEF,0,0
cm/estimate,1,128,1,64,32,8192,16,32768,72.2s,37ms,218.8 KB,408 B,0,9378.63,0xBEEF,1,0
cm/topk,1,128,1,64,32,8192,16,32768,81.5s,37ms,218.9 KB,484 B,1,9378.63,0xBEEF,1,0
cm/estimate,2,128,1,64,32,8192,16,65536,133.6s,37ms,219.0 KB,536 B,4,9376.71,0xBEEF,1,0
cm/topk,2,128,1,64,32,8192,16,65536,155.8s,38ms,219.2 KB,612 B,0,9376.71,0xBEEF,1,0
cm/estimate,4,128,1,64,32,8192,16,131072,261.9s,37ms,219.5 KB,792 B,1,9386.49,0xBEEF,1,0
cm/topk,4,128,1,64,32,8192,16,131072,314.5s,38ms,219.7 KB,868 B,0,9386.49,0xBEEF,1,0
cm/estimate,8,128,1,64,32,8192,16,262144,528.0s,38ms,220.5 KB,1.3 KB,1,9399.11,0xBEEF,1,0
cm/topk,8,128,1,64,32,8192,16,262144,634.3s,39ms,220.7 KB,1.3 KB,1,9399.11,0xBEEF,1,0
cm/estimate,16,128,1,64,32,8192,16,524288,1007.8s,37ms,222.5 KB,2.3 KB,1,9392.10,0xBEEF,1,0
cm/topk,16,128,1,64,32,8192,16,524288,1297.9s,38ms,222.7 KB,2.3 KB,0,9392.10,0xBEEF,1,0
cm/estimate,32,128,1,64,32,8192,16,1048576,2021.0s,38ms,226.5 KB,4.3 KB,1,9419.98,0xBEEF,1,0
cm/topk,32,128,1,64,32,8192,16,1048576,2660.5s,38ms,226.7 KB,4.3 KB,0,9419.98,0xBEEF,1,0
cm/estimate,64,128,1,64,32,8192,16,2097152,4043.2s,37ms,234.5 KB,8.3 KB,0,9446.01,0xBEEF,0,0
cm/topk,64,128,1,64,32,8192,16,2097152,5359.5s,37ms,234.7 KB,8.3 KB,0,9446.01,0xBEEF,0,0
cm/estimate,128,128,1,64,32,8192,16,4194304,8095.3s,37ms,250.5 KB,16.3 KB,0,9500.98,0xBEEF,0,0
cm/topk,128,128,1,64,32,8192,16,4194304,10856.2s,39ms,250.7 KB,16.3 KB,0,9500.98,0xBEEF,0,0
cm/estimate,64,128,1,64,32,8192,16,2097152,4046.7s,38ms,234.5 KB,8.3 KB,4,9446.18,0xBEEF,1,0
cm/topk,64,128,1,64,32,8192,16,2097152,5356.4s,38ms,234.7 KB,8.3 KB,4,9446.18,0xBEEF,1,0
cm/estimate,128,128,1,64,32,8192,16,4194304,8095.6s,37ms,250.5 KB,16.3 KB,0,9500.97,0xBEEF,1,0
cm/topk,128,128,1,64,32,8192,16,4194304,10868.9s,37ms,250.7 KB,16.3 KB,0,9500.97,0xBEEF,1,0
cm/estimate,256,128,1,64,32,8192,16,8388608,16185.5s,38ms,282.5 KB,32.3 KB,1,9616.14,0xBEEF,1,0
cm/topk,256,128,1,64,32,8192,16,8388608,21975.5s,39ms,282.7 KB,32.3 KB,0,9616.14,0xBEEF,1,0
cm/estimate,256,128,1,64,32,8192,16,8388608,16196.7s,37ms,282.5 KB,32.3 KB,0,9493.08,0xBEEF,0,0
cm/topk,256,128,1,64,32,8192,16,8388608,22016.9s,38ms,282.7 KB,32.3 KB,0,9493.08,0xBEEF,0,0
