query_type,epochs,num_sources,num_aggregators,keys_per_source,sources_per_epoch,total_unique_keys,samples_per_key,total_events,prove_time_ms,verify_time_ms,proof_size_bytes,journal_size_bytes,dp_offset,memory_mb,seed,dp_enabled,risc0_dev_mode
histogram/p90,1,128,16,8,8,1024,128,8192,47.9s,39ms,218.8 KB,416 B,3,9372.01,0xBEEF,1,0
histogram/p90,2,128,16,8,8,1024,128,16384,101.9s,38ms,219.0 KB,544 B,1,9378.38,0xBEEF,1,0
histogram/p90,4,128,16,8,8,1024,128,32768,208.7s,38ms,219.5 KB,800 B,0,9378.98,0xBEEF,1,0
histogram/p90,8,128,16,8,8,1024,128,65536,403.3s,39ms,220.5 KB,1.3 KB,1,9387.64,0xBEEF,1,0
histogram/p90,16,128,16,8,8,1024,128,131072,800.2s,37ms,222.5 KB,2.3 KB,1,9391.69,0xBEEF,1,0
histogram/p90,32,128,16,8,8,1024,128,262144,1585.4s,38ms,226.5 KB,4.3 KB,2,9400.69,0xBEEF,1,0
histogram/p90,64,128,16,8,8,1024,128,524288,3160.8s,38ms,234.5 KB,8.3 KB,2,9417.33,0xBEEF,1,0
histogram/p90,1,128,16,8,8,1024,128,8192,47.6s,38ms,218.8 KB,416 B,0,9369.17,0xBEEF,0,0
histogram/p90,2,128,16,8,8,1024,128,16384,101.1s,38ms,219.0 KB,544 B,0,9376.41,0xBEEF,0,0
histogram/p90,4,128,16,8,8,1024,128,32768,208.8s,38ms,219.5 KB,800 B,0,9378.43,0xBEEF,0,0
histogram/p90,8,128,16,8,8,1024,128,65536,402.7s,38ms,220.5 KB,1.3 KB,0,9387.28,0xBEEF,0,0
histogram/p90,16,128,16,8,8,1024,128,131072,797.8s,38ms,222.5 KB,2.3 KB,0,9391.23,0xBEEF,0,0
histogram/p90,32,128,16,8,8,1024,128,262144,1581.8s,39ms,226.5 KB,4.3 KB,0,9405.24,0xBEEF,0,0
histogram/p90,64,128,16,8,8,1024,128,524288,3153.5s,38ms,234.5 KB,8.3 KB,0,9417.64,0xBEEF,0,0
histogram/p90,128,128,16,8,8,1024,128,1048576,6306.5s,38ms,250.5 KB,16.3 KB,0,9451.82,0xBEEF,1,0
histogram/p90,256,128,16,8,8,1024,128,2097152,12602.6s,38ms,282.5 KB,32.3 KB,0,9449.95,0xBEEF,1,0
histogram/p90,128,128,16,8,8,1024,128,1048576,6286.9s,38ms,250.5 KB,16.3 KB,0,9450.15,0xBEEF,0,0
histogram/p90,256,128,16,8,8,1024,128,2097152,12577.6s,39ms,282.5 KB,32.3 KB,0,9446.80,0xBEEF,0,0
